Date,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1850-01-01,0.749,1.105,8.242,1.738,-3.206,2.822,12.833,0.367
1851-01-01,2.431,1.122,8.951,2.399,-2.443,1.771,13.245,0.362
1852-01-01,2.376,1.389,8.474,4.24,-2.755,1.705,13.231,0.438
1853-01-01,1.786,1.108,8.972,2.461,-2.818,1.556,13.143,0.356
1854-01-01,1.281,0.977,8.786,2.589,-3.552,1.362,12.983,0.313
1855-01-01,2.522,1.465,8.22,1.099,-3.125,1.699,13.384,0.442
1856-01-01,2.76,0.752,7.298,2.331,-3.727,2.795,13.368,0.261
1857-01-01,1.821,0.924,6.642,4.164,-5.407,3.498,12.972,0.3
1858-01-01,2.739,1.094,9.044,2.067,-2.692,2.052,13.221,0.347
1859-01-01,2.015,1.007,8.074,1.753,-2.7,1.295,13.058,0.326
1860-01-01,2.077,0.86,9.772,2.26,-2.059,1.59,13.17,0.294
1861-01-01,0.404,0.846,7.743,2.125,-3.256,1.721,12.475,0.299
1862-01-01,0.685,1.105,7.361,2.394,-4.11,1.745,12.658,0.378
1863-01-01,3.034,1.228,8.462,3.188,-1.766,2.51,13.296,0.417
1864-01-01,1.551,0.876,7.071,1.503,-3.848,1.789,12.879,0.332
1865-01-01,2.975,0.956,8.841,1.331,-3.212,1.962,13.503,0.348
1866-01-01,2.932,0.861,8.188,1.395,-2.923,1.517,13.467,0.325
1867-01-01,2.482,0.941,8.137,1.332,-3.308,1.385,13.371,0.364
1868-01-01,1.834,0.795,7.611,1.592,-3.478,1.807,13.012,0.304
1869-01-01,2.115,1.028,8.206,1.468,-3.173,1.698,13.289,0.35
1870-01-01,2.082,0.808,8.527,1.372,-3.307,1.225,13.304,0.277
1871-01-01,1.447,0.793,7.962,1.379,-2.937,1.432,13.089,0.287
1872-01-01,1.652,0.996,8.228,1.236,-3.228,1.225,13.041,0.325
1873-01-01,2.013,0.706,8.285,1.171,-3.44,1.753,13.353,0.251
1874-01-01,2.685,0.825,7.383,1.233,-3.764,1.139,13.392,0.283
1875-01-01,1.533,0.672,6.679,1.047,-4.717,1.524,13.027,0.246
1876-01-01,1.856,0.503,7.327,1.027,-3.325,0.883,13.1,0.209
1877-01-01,2.286,0.708,8.079,1.095,-3.162,1.132,13.306,0.249
1878-01-01,2.017,0.461,8.278,1.004,-3.083,1.011,13.538,0.191
1879-01-01,2.303,0.658,8.558,0.886,-3.311,0.978,13.349,0.23
1880-01-01,1.755,0.572,7.883,0.757,-3.37,0.864,13.129,0.204
1881-01-01,2.461,0.634,7.344,0.724,-3.687,0.981,13.396,0.221
1882-01-01,2.99,0.486,8.392,0.69,-3.022,0.914,13.632,0.18
1883-01-01,1.46,0.53,7.064,0.622,-4.519,0.605,13.106,0.19
1884-01-01,2.12,0.472,7.567,0.598,-4.118,0.947,13.279,0.17
1885-01-01,1.003,0.664,6.421,0.664,-4.621,0.698,12.889,0.215
1886-01-01,1.436,0.545,7.023,0.587,-3.755,0.552,13.001,0.181
1887-01-01,0.824,0.568,6.864,0.545,-4.678,1.038,12.62,0.187
1888-01-01,1.708,0.375,6.686,0.579,-4.299,0.531,13.132,0.148
1889-01-01,1.762,0.458,7.377,0.729,-4.053,0.984,13.417,0.168
1890-01-01,1.836,0.401,7.647,0.458,-4.24,0.56,13.068,0.157
1891-01-01,1.678,0.351,7.589,0.622,-4.011,0.492,13.037,0.155
1892-01-01,2.018,0.399,7.683,0.462,-3.93,0.465,13.264,0.162
1893-01-01,0.5,0.488,5.9,0.799,-5.345,0.48,12.702,0.186
1894-01-01,1.691,0.372,7.41,0.567,-4.039,0.422,13.039,0.159
1895-01-01,1.295,0.28,6.961,0.661,-4.319,0.657,13.084,0.14
1896-01-01,2.291,0.392,7.924,0.637,-3.408,0.446,13.366,0.162
1897-01-01,1.893,0.36,7.412,0.354,-3.573,0.474,13.312,0.161
1898-01-01,2.737,0.31,8.35,0.616,-2.885,0.37,13.396,0.149
1899-01-01,2.515,0.326,8.443,0.286,-3.262,0.517,13.306,0.147
01/01/1900,1.461,0.276,7.193,0.465,-4.102,0.395,13.142,0.142
01/01/1901,2.191,0.291,7.996,0.604,-3.491,0.49,13.29,0.141
01/01/1902,2.684,0.256,8.797,0.569,-3.031,0.369,13.302,0.13
01/01/1903,2.514,0.224,8.415,0.442,-3.187,0.403,13.275,0.128
01/01/1904,1.637,0.387,7.082,0.516,-3.86,0.398,12.957,0.152
01/01/1905,2.254,0.345,8.017,0.478,-3.324,0.373,13.205,0.14
01/01/1906,2.068,0.313,8.086,0.42,-3.637,0.294,13.25,0.137
01/01/1907,1.798,0.274,7.903,0.38,-3.867,0.324,13.108,0.128
01/01/1908,2.304,0.252,8.118,0.3,-3.548,0.287,13.16,0.123
01/01/1909,1.395,0.314,7.121,0.377,-4.298,0.449,12.839,0.132
01/01/1910,2.333,0.24,8.095,0.565,-3.27,0.381,13.139,0.114
01/01/1911,1.66,0.33,7.133,0.437,-3.969,0.285,12.908,0.128
01/01/1912,2.402,0.309,7.911,0.253,-3.305,0.329,13.249,0.125
01/01/1913,2.083,0.295,7.655,0.442,-3.657,0.4,13.066,0.122
01/01/1914,3.376,0.307,8.822,0.369,-2.334,0.298,13.545,0.128
01/01/1915,2.299,0.246,7.901,0.37,-3.416,0.332,13.32,0.134
01/01/1916,2.616,0.242,8.309,0.296,-2.927,0.359,13.294,0.134
01/01/1917,2.133,0.252,7.848,0.358,-3.782,0.273,12.84,0.138
01/01/1918,1.934,0.251,7.552,0.261,-3.802,0.371,13.129,0.141
01/01/1919,2.184,0.252,7.649,0.381,-3.396,0.453,13.309,0.152
01/01/1920,2.841,0.25,8.444,0.435,-2.942,0.328,13.257,0.137
01/01/1921,2.98,0.32,8.737,0.317,-2.709,0.345,13.439,0.146
01/01/1922,2.15,0.214,7.603,0.524,-3.428,0.389,13.177,0.121
01/01/1923,2.487,0.276,8.21,0.259,-3.195,0.349,13.24,0.127
01/01/1924,2.339,0.29,7.912,0.298,-3.502,0.377,13.303,0.134
01/01/1925,2.268,0.228,7.484,0.289,-3.179,0.283,13.157,0.125
01/01/1926,3.453,0.258,8.785,0.277,-2.222,0.233,13.739,0.128
01/01/1927,2.372,0.268,7.935,0.229,-3.512,0.251,13.323,0.13
01/01/1928,3.046,0.211,8.291,0.228,-2.631,0.291,13.637,0.121
01/01/1929,2.054,0.289,7.48,0.298,-3.66,0.272,13.137,0.134
01/01/1930,2.401,0.226,7.67,0.216,-3.169,0.343,13.26,0.13
01/01/1931,2.761,0.225,8.059,0.339,-2.897,0.252,13.529,0.13
01/01/1932,3.604,0.223,9.159,0.254,-2.054,0.284,13.687,0.131
01/01/1933,2.169,0.226,7.379,0.207,-3.453,0.277,13.26,0.129
01/01/1934,2.476,0.231,7.995,0.219,-3.131,0.272,13.276,0.124
01/01/1935,2.175,0.204,7.737,0.22,-3.618,0.25,13.299,0.121
01/01/1936,2.249,0.221,7.806,0.203,-3.53,0.237,13.26,0.115
01/01/1937,2.453,0.196,7.879,0.237,-3.216,0.259,13.417,0.116
01/01/1938,2.91,0.194,8.416,0.217,-2.597,0.272,13.596,0.111
